sentence	token	start	end	complexity
Видел я, наконец, что поставлены были престолы, и воссел Ветхий днями; одеяние на Нем было бело, как снег, и волосы главы Его – как чистая волна; престол Его – как пламя огня, колеса Его – пылающий огонь.	пламя	164	169	0.025
И, когда вошли они в лодку, ветер утих.	лодку	21	26	0.025
а когда посеяно, всходит и становится больше всех злаков, и пускает большие ветви, так что под тенью его могут укрываться птицы небесные.	злаков	50	56	0.075
Господь показал мне: и вот, две корзины со смоквами поставлены пред храмом Господним, после того, как Навуходоносор, царь Вавилонский, вывел из Иерусалима пленными Иехонию, сына Иоакимова, царя Иудейского, и князей Иудейских с плотниками и кузнецами и привел их в Вавилон:	кузнецами	240	249	0.075
Не ропщите, как некоторые из них роптали и погибли от истребителя.	истребителя	54	65	0.1
Сынов же Израилевых Соломон не делал работниками, но они были его воинами, его слугами, его вельможами, его военачальниками и вождями его колесниц и его всадников.	работниками	37	48	0.025
Ровоам жил в Иерусалиме; он обнес города в Иудее стенами.	Иудее	43	48	0.15
и смотрите, когда выйдут девицы Силомские плясать в хороводах, тогда выйдите из виноградников и схватите себе каждый жену из девиц Силомских и идите в землю Вениаминову;	хороводах	52	61	0.05
Сделай петли голубого цвета на краю первого покрывала, в конце соединяющего обе половины; так сделай и на краю последнего покрывала, соединяющего обе половины;	петли	7	12	0.125
В то время были на земле исполины, особенно же с того времени, как сыны Божии стали входить к дочерям человеческим, и они стали рождать им: это сильные, издревле славные люди.	дочерям	94	101	0.05
Невежду уже не будут называть почтенным, и о коварном не скажут, что он честный.	Невежду	0	7	0.25
(15:11) Ты укажешь мне путь жизни: полнота радостей пред лицем Твоим,блаженство в деснице Твоей вовек.	блаженство	69	79	0.225
(106:4) Они блуждали в пустыне по безлюдному пути и не находили населенного города;	пустыне	23	30	0.1
народ ходил и собирал ее, и молол в жерновах или толок в ступе, и варил в котле, и делал из нее лепешки; вкус же ее подобен был вкусу лепешек с елеем.	вкусу	128	133	0.1
Ибо ты забыл Бога спасения твоего, и не воспоминал о скале прибежища твоего; от того развел увеселительные сады и насадил черенки от чужой лозы.	прибежища	59	68	0.375
и положил прутья с нарезкою перед скотом в водопойных корытах, куда скот приходил пить, и где, приходя пить, зачинал пред прутьями.	прутьями	122	130	0.2
по милости Господа мы не исчезли, ибо милосердие Его не истощилось.	милосердие	38	48	0.2
Каин, Гива и Фимна: десять городов с их селами.	селами	40	46	0.15
Злые же люди и обманщики будут преуспевать во зле, вводя в заблуждение и заблуждаясь.	обманщики	15	24	0.125
И воздам им прежде всего за неправду их и за сугубый грех их, потому что осквернили землю Мою, трупами гнусных своих и мерзостями своими наполнили наследие Мое.	мерзостями	119	129	0.225
Говорю это для вашей же пользы, не с тем, чтобы наложить на вас узы, но чтобы вы благочинно и непрестанно служили Господу без развлечения.	развлечения	126	137	0.175
а ходили по упорству сердца своего и во след Ваалов, как научили их отцы их.	след	40	44	0.25
и приносите всесожжение Господу в приятное благоухание: одного тельца, одного овна, семь однолетних агнцев; без порока пусть будут они у вас;	тельца	63	69	0.325
и извергнул их Господь из земли их в гневе, ярости и великом негодовании, и поверг их на другую землю, как ныне видим.	негодовании	61	72	0.2
Когда же Павел набрал множество хвороста и клал на огонь, тогда ехидна, выйдя от жара, повисла на руке его.	жара	81	85	0.25
и читал из него на площади, которая пред Водяными воротами, от рассвета до полудня, пред мужчинами и женщинами и всеми, которые могли понимать; и уши всего народа были приклонены к книге закона.	уши	146	149	0.125
в рассудительности воздержание, в воздержании терпение, в терпении благочестие,	воздержании	34	45	0.325
Вот, Я – на тебя, гордыня, говорит Господь Бог Саваоф; ибо пришел день твой, время посещения твоего.	гордыня	18	25	0.225
и так как Он возлюбил отцов твоих и избрал вас, потомство их после них, то и вывел тебя Сам великою силою Своею из Египта,	Египта	115	121	0.05
Здание перед площадью на западной стороне – шириною в семьдесят локтей; стена же этого здания – в пять локтей ширины кругом, а длина ее – девяносто локтей.	здания	87	93	0.075
Ибо прежде собирания винограда, когда он отцветет, и грозд начнет созревать, Он отрежет ножом ветви и отнимет, и отрубит отрасли.	собирания	11	20	0.15
И как на рассвете утра, при восходе солнца на безоблачном небе, от сияния после дождя вырастает трава из земли,	восходе	28	35	0.125
Авдемелех взял людей с собою и вошел в дом царский под кладовую, и взял оттуда старых негодных тряпок и старых негодных лоскутьев и опустил их на веревках в яму к Иеремии.	тряпок	95	101	0.175
Вот уделы, которые Елеазар священник, Иисус, сын Навин, и начальники поколений разделили коленам сынов Израилевых, по жребию, в Силоме, пред лицем Господним, у входа скинии собрания. И кончили разделение земли.	собрания	173	181	0.325
а у бедного ничего, кроме одной овечки, которую он купил маленькую и выкормил, и она выросла у него вместе с детьми его; от хлеба его она ела, и из его чаши пила, и на груди у него спала, и была для него, как дочь;	овечки	32	38	0.2
(138:16) Зародыш мой видели очи Твои; в Твоей книге записаны все дни, для меня назначенные, когда ни одного из них еще не было.	Зародыш	9	16	0.3
Один ли я съедал кусок мой, и не ел ли от него и сирота?	сирота	49	55	0.3
(130:2) Не смирял ли я и не успокаивал ли души моей, как дитяти, отнятого от груди матери? душа моя была во мне, как дитя, отнятое от груди.	груди	134	139	0.125
тот горд, ничего не знает, но заражен страстью к состязаниям и словопрениям, от которых происходят зависть, распри, злоречия, лукавые подозрения.	распри	108	114	0.5
И осталась дщерь Сиона, как шатер в винограднике, как шалаш в огороде, как осажденный город.	шалаш	54	59	0.175
И встали мужи, упомянутые по именам, и взяли пленных, и всех нагих из них одели из добычи, – и одели их, и обули их, и накормили их, и напоили их, и помазали их елеем, и посадили на ослов всех слабых из них, и отправили их в Иерихон, город пальм, к братьям их, и возвратились в Самарию.	пленных	45	52	0.175
В то время, когда приносили ящик к царским чиновникам чрез левитов, и когда они видели, что серебра много, приходил писец царя и поверенный первосвященника, и высыпали из ящика, и относили его и ставили его на свое место. Так делали они изо дня в день, и собрали множество серебра.	ящик	28	32	0.15
Ради Себя, ради Себя Самого делаю это, – ибо какое было бы нарекание на имя Мое! славы Моей не дам иному.	нарекание	59	68	0.3
И над столбами поставил венцы, сделанные наподобие лилии; так окончена работа над столбами.	лилии	51	56	0.225
Как вор, когда поймают его, бывает осрамлен, так осрамил себя дом Израилев: они, цари их, князья их, и священники их, и пророки их, –	вор	4	7	0.1
Устройство колес такое же, как устройство колес в колеснице; оси их, и ободья их, испицы их, и ступицы их, все было литое.	колес	42	47	0.125
(21:16) Сила моя иссохла, как черепок; язык мой прильпнул к гортани моей, и Ты свел меня к персти смертной.	черепок	30	37	0.25
и сорок серебряных подножий сделал под двадцать брусьев: два подножия под один брус для двух шипов его, и два подножия под другой брус для двух шипов его;	шипов	93	98	0.25
Потом пошли сыны Каафовы, носящие святилище; скиния же была поставляема до прихода их.	прихода	75	82	0.225
И крюки в одну ладонь приделаны были к стенам здания кругом, а на столах клали жертвенное мясо.	ладонь	15	21	0.25
Ибо ужас объял его и всех, бывших с ним, от этого лова рыб, ими пойманных;	лова	50	54	0.35
Теща же Симонова лежала в горячке; и тотчас говорят Ему о ней.	горячке	26	33	0.2
Почему, когда Я приходил, никого не было, и когда Я звал, никто не отвечал? Разве рука Моя коротка стала для того, чтобы избавлять, или нет силы во Мне, чтобы спасать? Вот, прещением Моим Я иссушаю море, превращаю реки в пустыню; рыбы в них гниют от недостатка воды и умирают от жажды.	жажды	279	284	0.15
(79:6) Ты напитал их хлебом слезным, и напоил их слезами в большой мере,	слезами	49	56	0.15
Старшие из Гевала и знатоки его были у тебя, чтобы заделывать пробоины твои. Всякие морские корабли и корабельщики их находились у тебя для производства торговли твоей.	пробоины	62	70	0.35
(6:25) В то время Иисус поклялся и сказал: проклят пред Господом тот, кто восставит и построит город сей Иерихон; на первенце своем он положит основание его и на младшем своем поставит врата его.	врата	185	190	0.25
Ты покрыл меня морщинами во свидетельство против меня; восстает на меня изможденность моя, в лицо укоряет меня.	морщинами	15	24	0.2
Приветствуйте Урбана, сотрудника нашего во Христе, и Стахия, возлюбленного мне.	сотрудника	22	32	0.2
Итак что же, братия? Когда вы сходитесь, и у каждого из вас есть псалом, есть поучение, есть язык, есть откровение, есть истолкование, – все сие да будет к назиданию.	назиданию	156	165	0.525
и воинства его, вошедших в исчисление его, тридцать две тысячи двести;	исчисление	27	37	0.45
Что за удовольствие Вседержителю, что ты праведен? И будет ли Ему выгода от того, что ты содержишь пути твои в непорочности?	выгода	66	72	0.075
Ширина стены боковых комнат, выходящих наружу, пять локтей, и открытое пространство есть подле боковых комнат храма.	пространство	71	83	0.2
О, вы, которые суд превращаете в отраву и правду повергаете на землю!	отраву	33	39	0.15
И настанут безопасные времена твои, изобилие спасения, мудрости и ведения; страх Господень будет сокровищем твоим.	изобилие	36	44	0.35
И если взаймы даете тем, от которых надеетесь получить обратно, какая вам за то благодарность? ибо и грешники дают взаймы грешникам, чтобы получить обратно столько же.	благодарность	80	93	0.15
видите ли, я помедлю на равнине в пустыне, доколе не придет известие от вас ко мне.	известие	60	68	0.2
И сказал мне Господь: пророки пророчествуют ложное именем Моим; Я не посылал их и не давал им повеления, и не говорил им; они возвещают вам видения ложные и гадания, и пустое и мечты сердца своего.	гадания	157	164	0.225
отец будет против сына, и сын против отца; мать против дочери, и дочь против матери; свекровь против невестки своей, и невестка против свекрови своей.	невестка	119	127	0.075
И почувствовал сильную жажду и воззвал к Господу и сказал: Ты соделал рукою раба Твоего великое спасение сие; а теперь умру я от жажды, и попаду в руки необрезанных.	жажду	23	28	0.15
да не пощадит его глаз твой: душу за душу, глаз за глаз, зуб за зуб, руку за руку, ногу за ногу.	зуб	64	67	0.05
Преисподняя обнажена пред Ним, и нет покрывала Аваддону.	Преисподняя	0	11	0.425
Кузнец делает из железа топор и работает на угольях, молотами обделывает его и трудится над ним сильною рукою своею до того, что становится голоден и бессилен, не пьет воды и изнемогает.	Кузнец	0	6	0.075
Когда зашло солнце и наступила тьма, вот, дым как бы из печи и пламя огня прошли между рассеченными животными.	пламя	63	68	0.075
Если продастся тебе брат твой, Еврей, или Евреянка, то шесть лет должен он быть рабом тебе, а в седьмой год отпусти его от себя на свободу;	Еврей	31	36	0.1
Научитесь, неразумные, благоразумию, и глупые - разуму.	благоразумию	23	35	0.25
Хотя Ефрем плодовит между братьями, но придет восточный ветер, поднимется ветер Господень из пустыни, и иссохнет родник его, и иссякнет источник его; он опустошит сокровищницу всех драгоценных сосудов.	родник	113	119	0.1
Начальнику хора. На струнных орудиях. Псалом Давида. (4:2) Когда я взываю, услышь меня, Боже правды моей! В тесноте Ты давал мне простор. Помилуй меня и услышь молитву мою.	простор	129	136	0.175
и сколько нужно – тельцов ли, или овнов и агнцев, на всесожжения Богу небесному, также пшеницы, соли, вина и масла, как скажут священники Иерусалимские, пусть будет выдаваемо им изо дня в день без задержки,	масла	109	114	0.05
Между тем, когда собрались тысячи народа, так что теснили друг друга, Он начал говорить сперва ученикам Своим: берегитесь закваски фарисейской, которая есть лицемерие.	лицемерие	157	166	0.2
О сестре твоей Содоме и помина не было в устах твоих во дни гордыни твоей,	гордыни	60	67	0.25
Если у женщины течет кровь многие дни не во время очищения ее, или если она имеет истечение долее обыкновенного очищения ее, то во все время истечения нечистоты ее, подобно как в продолжение очищения своего, она нечиста;	продолжение	179	190	0.25
стрелы его заострены, и все луки его натянуты; копыта коней его подобны кремню, и колеса его – как вихрь;	колеса	82	88	0.15
А Стефан, исполненный веры и силы, совершал великие чудеса и знамения в народе.	Стефан	2	8	0.3
Ты находился в Едеме, в саду Божием; твои одежды были украшены всякими драгоценными камнями; рубин, топаз и алмаз, хризолит, оникс, яспис, сапфир, карбункул и изумруд и золото, все, искусно усаженное у тебя в гнездышках и нанизанное на тебе, приготовлено было в день сотворения твоего.	рубин	93	98	0.2
два столба и две опояски венцов, которые на верху столбов, и две сетки для покрытия двух опоясок венцов, которые на верху столбов;	столба	4	10	0.2
Польется как дождь учение мое, как роса речь моя, как мелкий дождь на зелень, как ливень на траву.	дождь	13	18	0.125
Узнав же Павел, что тут одна часть саддукеев, а другая фарисеев, возгласил в синедрионе: мужи братия! я фарисей, сын фарисея; за чаяние воскресения мертвых меня судят.	чаяние	129	135	0.7
Ты ли дал коню силу и облек шею его гривою?	гривою	36	42	0.325
Погибели предшествует гордость, и падению – надменность.	гордость	22	30	0.15
а вы обратитесь и отправьтесь в пустыню по дороге к Чермному морю.	морю	61	65	0.075
и направится граница на юг к возвышенности Акравима и пойдет через Син, и будут выступы ее на юг к Кадес-Варни, оттуда пойдет к Гацар-Аддару и пройдет через Ацмон;	возвышенности	29	42	0.3
Там будет плач и скрежет зубов, когда увидите Авраама, Исаака и Иакова и всех пророков в Царствии Божием, а себя изгоняемыми вон.	скрежет	17	24	0.325
Оставь сирот твоих, Я поддержу жизнь их, и вдовы твои пусть надеются на Меня.	сирот	7	12	0.25
Не замышляй против ближнего твоего зла, когда он без опасения живет с тобою.	зла	35	38	0.225
и пришел к богатому человеку странник, и тот пожалел взять из своих овец или волов, чтобы приготовить обед для странника, который пришел к нему, а взял овечку бедняка и приготовил ее для человека, который пришел к нему.	овечку	152	158	0.175
И будет остаток Иакова среди многих народов как роса от Господа, как ливень на траве, и он не будет зависеть от человека и полагаться на сынов Адамовых.	ливень	69	75	0.225
Павел и Тимофей, рабы Иисуса Христа, всем святым во Христе Иисусе, находящимся в Филиппах, с епископами и диаконами:	епископами	93	103	0.45
В это время пришли некоторые и рассказали Ему о Галилеянах, которых кровь Пилат смешал с жертвами их.	кровь	68	73	0.15
Но сыновья его не ходили путями его, а уклонились в корысть и брали подарки, и судили превратно.	корысть	52	59	0.425
и отправились из Овофа и остановились в Ийе-Авариме, в пустыне, что против Моава, к восходу солнца;	восходу	84	91	0.3
(73:11) Для чего отклоняешь руку Твою и десницу Твою? Из среды недра Твоего порази их.	недра	63	68	0.55
и отнял колеса у колесниц их, так что они влекли их с трудом. И сказали Египтяне: побежим от Израильтян, потому что Господь поборает за них против Египтян.	колеса	8	14	0.075
(77:25) Хлеб ангельский ел человек; послал Он им пищудо сытости.	сытости	56	63	0.4
А один побежал, наполнил губку уксусом и, наложив на трость, давал Ему пить, говоря: постойте, посмотрим, придет ли Илия снять Его.	уксусом	31	38	0.175
и все Израильтяне, скрывавшиеся в горе Ефремовой, услышав, что Филистимляне побежали, также пристали к своим в сражении.	сражении	111	119	0.15
соблюсти заповедь чисто и неукоризненно, даже до явления Господа нашего Иисуса Христа,	явления	49	56	0.375
Но твои глаза и твое сердце обращены только к твоей корысти и к пролитию невинной крови, к тому, чтобы делать притеснение и насилие.	корысти	52	59	0.425
Не можете пить чашу Господню и чашу бесовскую; не можете быть участниками в трапезе Господней и в трапезе бесовской.	трапезе	76	83	0.475
У глупого тотчас же выкажется гнев его, а благоразумный скрывает оскорбление.	оскорбление	65	76	0.2
Фарсисские корабли были твоими караванами в твоей торговле, и ты сделался богатым и весьма славным среди морей.	торговле	50	58	0.225
идолослужение, волшебство, вражда, ссоры, зависть, гнев, распри, разногласия,(соблазны), ереси,	волшебство	15	25	0.075
и которые нам кажутся менее благородными в теле, о тех более прилагаем попечения;	попечения	71	80	0.475
Не властен ли горшечник над глиною, чтобы из той же смеси сделать один сосуд для почетного употребления, а другой для низкого?	употребления	91	103	0.2
то пусть плечо мое отпадет от спины, и рука моя пусть отломится от локтя,	спины	30	35	0.05
потом поворачивает от севера и идет к Ен-Шемешу, и идет к Гелилофу, который против возвышенности Адуммима, и нисходит к камню Богана, сына Рувимова;	возвышенности	83	96	0.175
Неприлична глупцу пышность, тем паче рабу господство над князьями.	господство	42	52	0.325
О дне его ужаснутся потомки, и современники будут объяты трепетом.	современники	31	43	0.25
Ибо стрелы Вседержителя во мне; яд их пьет дух мой; ужасы Божии ополчились против меня.	ужасы	52	57	0.175
Это вода Меривы, у которой вошли в распрю сыны Израилевы с Господом, и Он явил им святость Свою.	распрю	35	41	0.675
чтобы искупить подзаконных, дабы нам получить усыновление.	усыновление	46	57	0.2
пусть он выпьет и забудет бедность свою и не вспомнит больше о своем страдании.	страдании	69	78	0.1
(51:4) гибель вымышляет язык твой; как изощренная бритва, он у тебя, коварный!	гибель	7	13	0.3
из Сенирских кипарисов устроили все помосты твои; брали с Ливана кедр, чтобы сделать на тебе мачты;	кипарисов	13	22	0.4
Двадцать пять тысяч тростей длины и десять тысяч ширины будут принадлежать левитам, служителям храма, как их владение для обитания их.	обитания	122	130	0.275
которые убили и Господа Иисуса и Его пророков, и нас изгнали, и Богу не угождают,и всем человекам противятся,	пророков	37	45	0.3
и в восьмой день возьмет он себе двух горлиц или двух молодых голубей, и придет пред лице Господне ко входу скинии собрания, и отдаст их священнику;	входу	102	107	0.2
и говорили: господин! Мы вспомнили, что обманщик тот, еще будучи в живых, сказал: после трех дней воскресну;	обманщик	40	48	0.1
Как скоро совершил Исаак благословение над Иаковом, и как только вышел Иаков от лица Исаака, отца своего, Исав, брат его, пришел с ловли своей.	ловли	131	136	0.475
Если захотите и послушаетесь, то будете вкушать блага земли;	блага	48	53	0.275
все, что прикоснется к мясу ее, освятится; и если кровью ее обрызгана будет одежда, то обрызганное омой на святом месте;	кровью	50	56	0.225
а упавшее в терние, это те, которые слушают слово, но, отходя, заботами, богатством и наслаждениями житейскими подавляются и не приносят плода;	наслаждениями	86	99	0.275
Выслушаем сущность всего: бойся Бога и заповеди Его соблюдай, потому что в этом все для человека;	сущность	10	18	0.3
(18:4) Нет языка, и нет наречия, где не слышался бы голос их.	наречия	24	31	0.35
И продавали имения и всякую собственность, и разделяли всем, смотря по нужде каждого.	имения	12	18	0.25
(16:8) Храни меня, как зеницу ока; в тени крыл Твоих укрой меня	ока	30	33	0.275
Кто замышляет сделать зло, того называют злоумышленником.	зло	22	25	0.0
и не слушали рабов Твоих, пророков, которые Твоим именем говорили царям нашим, и вельможам нашим, и отцам нашим, и всему народу страны.	вельможам	81	90	0.475
заколола жертву, растворила вино свое и приготовила у себя трапезу;	трапезу	59	66	0.325
Посему так говорит Господь: Я обращаюсь к Иерусалиму с милосердием; в нем соорудится дом Мой, говорит Господь Саваоф, и землемерная вервь протянется по Иерусалиму.	милосердием	55	66	0.425
далее: Умма, Афек и Рехов: двадцать два города с селами их.	селами	49	55	0.275
и падут от острия меча, и отведутся в плен во все народы; и Иерусалим будет попираем язычниками, доколе не окончатся времена язычников.	язычников	125	134	0.425
ибо чрез это совершено очищение для вручения им священства и для посвящения их; посторонний не должен есть сего, ибо это святыня;	вручения	36	44	0.3
Поэтому с обдуманностью веди войну твою, и успех будет при множестве совещаний.	совещаний	69	78	0.35
В письмах она писала так: объявите пост и посадите Навуфея на первое место в народе;	пост	35	39	0.275
ибо непокорность есть такой же грех, что волшебство, и противление то же, что идолопоклонство; за то, что ты отверг слово Господа, и Он отверг тебя, чтобы ты не был царем.	волшебство	41	51	0.35
пределом их был Ароер, который на берегу потока Арнона, и город, который среди потока, и вся равнина при Медеве,	равнина	93	100	0.275
в которых вы некогда жили, по обычаю мира сего, по воле князя, господствующего в воздухе, духа, действующего ныне в сынах противления,	обычаю	30	36	0.35
Слово сие верно и всякого принятия достойно.	принятия	26	34	0.325
Лучше кусок сухого хлеба, и с ним мир, нежели дом, полный заколотого скота, с раздором.	раздором	78	86	0.275
Пророки твои провещали тебе пустое и ложное и не раскрывали твоего беззакония, чтобы отвратить твое пленение, и изрекали тебе откровения ложные и приведшие тебя к изгнанию.	изгнанию	163	171	0.325
И завещал им Моисей и сказал: по прошествии семи лет, в год отпущения, в праздник кущей,	отпущения	60	69	0.475
(40:25) будут ли продавать его товарищи ловли, разделят ли его между Хананейскими купцами?	ловли	40	45	0.4
и покупай на серебро сие всего, чего пожелает душа твоя, волов, овец, вина, сикера и всего, чего потребует от тебя душа твоя; и ешь там пред Господом, Богом твоим, и веселись ты и семейство твое.	семейство	180	189	0.1
Когда же наступил вечер, говорит господин виноградника управителю своему: позови работников и отдай им плату, начав с последних до первых.	работников	81	91	0.175
А до пришествия веры мы заключены были под стражею закона, до того времени, как надлежало открыться вере.	пришествия	5	15	0.325
(112:3) От восхода солнца до запада да будет прославляемо имя Господне.	восхода	11	18	0.15
И пошли сыны Израилевы, и плакали пред Господом до вечера, и вопрошали Господа: вступать ли мне еще в сражение с сынами Вениамина, брата моего? Господь сказал: идите против него.	сражение	102	110	0.225
Все, что продается на торгу, ешьте без всякого исследования, для спокойствия совести;	исследования	47	59	0.275
От дуновения Божия происходит лед, и поверхность воды сжимается.	дуновения	3	12	0.425
и приходили мужья с женами, и все по расположению сердца приносили кольца, серьги, перстни и привески, всякие золотые вещи, каждый, кто только хотел приносить золото Господу;	серьги	75	81	0.1
В полночь Господь поразил всех первенцев в земле Египетской, от первенца фараона, сидевшего на престоле своем, до первенца узника, находившегося в темнице, и все первородное из скота.	полночь	2	9	0.25
И это происходит от Господа Саваофа: дивны судьбы Его, велика премудрость Его!	судьбы	43	49	0.475
Ты поразишь их жезлом железным; сокрушишь их, как сосуд горшечника'.	жезлом	15	21	0.4
И нарубил каждый из всего народа сучьев, и пошли за Авимелехом, и положили к башне, и сожгли посредством их башню огнем, и умерли все бывшие в башне Сихемской, около тысячи мужчин и женщин.	сучьев	33	39	0.525
Сыны Иосифа сказали: не останется за нами гора, потому что железные колесницы у всех Хананеев, живущих на долине, как у тех, которые в Беф-Сане и в зависящих от него местах, так и у тех, которые на долине Изреельской.	долине	198	204	0.375
Человек не властен над духом, чтобы удержать дух, и нет власти у него над днем смерти, и нет избавления в этой борьбе, и не спасет нечестие нечестивого.	борьбе	111	117	0.275
ни сумы на дорогу, ни двух одежд, ни обуви, ни посоха, ибо трудящийся достоин пропитания.	пропитания	78	88	0.475
Живу Я, сказал Господь: если бы Иехония, сын Иоакима, царь Иудейский, был перстнем на правой руке Моей, то и отсюда Я сорву тебя	перстнем	74	82	0.575
для чего же ты не отдал серебра моего в оборот, чтобы я, придя, получил его с прибылью?	оборот	40	46	0.525
к которому и призвал вас благовествованием нашим, для достижения славы Господа нашего Иисуса Христа.	достижения	54	64	0.35
Страх Господень – ненавидеть зло; гордость и высокомерие и злой путь и коварные уста я ненавижу.	высокомерие	45	56	0.15
Гнев царя – как рев льва, а благоволение его – как роса на траву.	роса	51	55	0.075
Богатых в настоящем веке увещевай, чтобы они не высоко думали о себе и уповали не на богатство неверное, но на Бога живаго, дающего нам все обильно для наслаждения;	наслаждения	152	163	0.175
И все тело их, и спина их, и руки их, и крылья их, и колеса кругом были полны очей, все четыре колеса их.	спина	17	22	0.05
Дети! последнее время. И как вы слышали, что придет антихрист, и теперь появилось много антихристов, то мы и познаем из того, что последнее время.	антихристов	88	99	0.525
Приветствует вас Аристарх, заключенный вместе со мною, и Марк, племянник Варнавы – о котором вы получили приказания: если придет к вам, примите его, –	приказания	105	115	0.3
Говорят: „если муж отпустит жену свою, и она отойдет от него и сделается женою другого мужа, то может ли она возвратиться к нему? Не осквернилась ли бы этим страна та?' А ты со многими любовниками блудодействовала, – и однако же возвратись ко Мне, говорит Господь.	любовниками	185	196	0.15
тела прочих людей не должно помазывать им, и по составу его не делайте подобного ему; оно – святыня: святынею должно быть для вас;	составу	48	55	0.225
(73:2) Вспомни сонм Твой, который Ты стяжал издревле, искупил в жезл достояния Твоего, – эту гору Сион, на которой Ты веселился.	сонм	15	19	0.7
Не собирайте себе сокровищ на земле, где моль и ржа истребляют и где воры подкапывают и крадут,	моль	41	45	0.075
Погубил ты себя, Израиль, ибо только во Мне опора твоя.	опора	44	49	0.225
старика, юношу и девицу, и младенца и жен бейте до смерти, но нетроньте ни одного человека, на котором знак, и начните от святилища Моего. И начали они с тех старейшин, которые были перед домом.	старика	0	7	0.1
