	Russian	Arabic	Target
372	Итак я рассудил сам в себе не приходить к вам опять с огорчением.	ولكني جزمت بهذا في نفسي ان لا آتي اليكم ايضا في حزن.	огорчением
373	одна корзина была со смоквами весьма хорошими, каковы бывают смоквы ранние, а другая корзина – со смоквами весьма худыми, которых по негодности их нельзя есть.	في السلة الواحدة تين جيد جدا مثل التين الباكوري وفي السلة الاخرى تين رديء جدا لا يؤكل من رداءته.	корзина
374	И узнаешь, что шатер твой в безопасности, и будешь смотреть за домом твоим, и не согрешишь.	فتعلم ان خيمتك آمنة وتتعهد مربضك ولا تفقد شيئا.	безопасности
375	(118:150) Приблизились замышляющие лукавство; далеки они от закона Твоего.	‎اقترب التابعون الرذيلة. عن شريعتك بعدوا‎.	закона
376	и если дом разделится сам в себе, не может устоять дом тот;	وان انقسم بيت على ذاته لا يقدر ذلك البيت ان يثبت.	дом
377	Горе венку гордости пьяных Ефремлян, увядшему цветку красивого убранства его, который на вершине тучной долины сраженных вином!	ويل لاكليل فخر سكارى افرايم وللزهر الذابل جمال بهائه الذي على راس وادي سمائن المضروبين بالخمر.	убранства
378	только вот в чем да простит Господь раба твоего: когда пойдет господин мой в дом Риммона для поклонения там и опрется на руку мою, и поклонюсь я в доме Риммона, то, за мое поклонение в доме Риммона, да простит Господь раба твоего в случае сем.	عن هذا الأمر يصفح الرب لعبدك. عند دخول سيدي الى بيت رمّون ليسجد هناك ويستند على يدي فاسجد في بيت رمّون فعند سجودي في بيت رمون يصفح الرب لعبدك عن هذا الامر.	поклонения
379	и вот что сделайте: всякого мужчину и всякую женщину, познавшую ложе мужеское, предайте заклятию.	وهذا ما تعملونه. تحرّمون كل ذكر وكل امرأة عرفت اضطجاع ذكر.	ложе
380	Ибо всякая плоть – как трава, и всякая слава человеческая – как цвет на траве: засохла трава, и цвет ее опал;	لان كل جسد كعشب وكل مجد انسان كزهر عشب. العشب يبس وزهره سقط	цвет
381	терпение же должно иметь совершенное действие, чтобы вы были совершенны во всей полноте, без всякого недостатка.	واما الصبر فليكن له عمل تام لكي تكونوا تامّين وكاملين غير ناقصين في شيء.	действие
382	и окружите царя со всех сторон, каждый с оружием своим в руке своей; и кто вошел бы в ряды, тот да будет умерщвлен. И будьте при царе, когда он выходит и когда входит.	وتحيطون بالملك حواليه كل واحد سلاحه بيده ومن دخل الصفوف يقتل. وكونوا مع الملك في خروجه ودخوله.	сторон
383	Диаконы также должны быть честны, не двоязычны, не пристрастны к вину, не корыстолюбивы,	كذلك يجب ان يكون الشمامسة ذوي وقار لا ذوي لسانين غير مولعين بالخمر الكثير ولا طامعين بالربح القبيح	Диаконы
384	или думаешь, что Я не могу теперь умолить Отца Моего, и Он представит Мне более, нежели двенадцать легионов Ангелов?	أتظن اني لا استطيع الآن ان اطلب الى ابي فيقدم لي اكثر من اثني عشر جيشا من الملائكة.	легионов
385	Есть ли у дождя отец? или кто рождает капли росы?	هل للمطر اب ومن ولد مآجل الطل.	капли
386	А если князь, по усердию своему, захочет принести всесожжение или благодарственную жертву Господу, то должны отворить ему ворота, обращенные к востоку, и он совершит свое всесожжение и свою благодарственную жертву так же, как совершил в субботний день, и после сего он выйдет, и по выходе его ворота запрутся.	واذا عمل الرئيس نافلة محرقة او ذبائح سلامة نافلة للرب يفتح له الباب المتجه للمشرق فيعمل محرقته وذبائحه السلامية كما يعمل في يوم السبت ثم يخرج وبعد خروجه يغلق الباب.	востоку
387	Вот порядок шествия сынов Израилевых по ополчениям их. И отправились они.	هذه رحلات بني اسرائيل باجنادهم حين ارتحلوا	порядок
388	А в четвертый день собрались на долину благословения, так как там они благословили Господа. Посему и называют то место долиною благословения до сего дня.	وفي اليوم الرابع اجتمعوا في وادي بركة لانهم هناك باركوا الرب لذلك دعوا اسم ذلك المكان وادي بركة الى اليوم.	место
389	и доставку дров в назначенные времена и начатки. Помяни меня, Боже мой, во благо мне !	ولاجل قربان الحطب في ازمنة معينة وللباكورات. فاذكرني يا الهي بالخير	доставку
390	А что сон повторился фараону дважды, это значит , что сие истинно слово Божие, и что вскоре Бог исполнит сие.	واما عن تكرار الحلم على فرعون مرّتين فلأن الامر مقرّر من قبل الله والله مسرع ليصنعه	сон
391	и сказал: наг я вышел из чрева матери моей, наг и возвращусь. Господь дал, Господь и взял; да будет имя Господне благословенно!	وقال عريانا خرجت من بطن امي وعريانا اعود الى هناك. الرب اعطى والرب اخذ فليكن اسم الرب مباركا.	матери
392	Затрудняясь в решении этого вопроса, я сказал: хочет ли он идти в Иерусалим и там быть судимым в этом?	‎واذ كنت مرتابا في المسئلة عن هذا قلت ألعله يشاء ان يذهب الى اورشليم ويحاكم هناك من جهة هذه الامور‎.	вопроса
393	А Петр стоял вне за дверями. Потом другой ученик, который был знаком первосвященнику, вышел, и сказал придвернице, и ввел Петра.	واما بطرس فكان واقفا عند الباب خارجا. فخرج التلميذ الآخر الذي كان معروفا عند رئيس الكهنة وكلم البوابة فادخل بطرس.	первосвященнику
394	и ввергнут их в печь огненную; там будет плач и скрежет зубов;	ويطرحونهم في اتون النار. هناك يكون البكاء وصرير الاسنان.	скрежет
395	поднесли и тук из вола, и из овна курдюк, и тук покрывающий внутренности, почки и сальник на печени,	والشحم من الثور ومن الكبش الألية وما يغشّي والكليتين وزيادة الكبد.	печени
396	третья часть у ворот Сур, и третья часть у ворот сзади телохранителей, и содержите стражу дома, чтобы не было повреждения;	والثلث على باب سور والثلث على الباب وراء السعاة فتحرسون حراسة البيت للصدّ.	ворот
397	Грозное положение твое и надменность сердца твоего обольстили тебя,живущего в расселинах скал и занимающего вершины холмов. Но, хотя бы ты, как орел, высоко свил гнездо твое, и оттуда низрину тебя, говорит Господь.	قد غرّك تخويفك كبرياء قلبك يا ساكن في محاجيء الصخر الماسك مرتفع الاكمة. وان رفعت كنسر عشك فمن هناك احدرك يقول الرب.	положение
398	Тогда открылись у них глаза, и они узнали Его. Но Он стал невидим для них.	فانفتحت اعينهما وعرفاه ثم اختفى عنهما.	глаза
399	Который дает суд сироте и вдове, и любит пришельца, и дает ему хлеб и одежду.	الصانع حق اليتيم والارملة والمحب الغريب ليعطيه طعاما ولباسا.	сироте
400	и лица у них и крылья у них – у всех четырех; крылья их соприкасались одно к другому; во время шествия своего они не оборачивались, а шли каждое по направлению лица своего.	واجنحتها متصلة الواحد باخيه. لم تدر عند سيرها. كل واحد يسير الى جهة وجهه.	направлению
401	а из Израильтян, – из сыновей Пароша: Рамаия, Иззия, Малхия, Миямин, Елеазар, Малхия и Венаия;	ومن اسرائيل من بني فرعوش رميا ويزيا وملكيا وميامين والعازار وملكيا وبنايا.	сыновей
402	И злой дух от Бога напал на Саула, и он сидел в доме своем, и копье его было в руке его, а Давид играл рукою своею на струнах.	وكان الروح الردي من قبل الرب على شاول وهو جالس في بيته ورمحه بيده وكان داود يضرب باليد.	доме
403	Во всем этом не согрешил Иов и не произнес ничего неразумного о Боге.	في كل هذا لم يخطئ ايوب ولم ينسب لله جهالة	Иов
404	Так как мы едим соль от дворца царского, и ущерб для царя не можем видеть, поэтому мы посылаем донесение к царю:	والآن بما اننا نأكل ملح دار الملك ولا يليق بنا ان نرى ضرر الملك لذلك ارسلنا فاعلمنا الملك	донесение
405	И послал Моисей из Кадеса послов к Царю Едомскому сказать : так говорит брат твой Израиль: ты знаешь все трудности, которые постигли нас;	وارسل موسى رسلا من قادش الى ملك ادوم. هكذا يقول اخوك اسرائيل قد عرفت كل المشقة التي اصابتنا.	трудности
406	И пришел он по вдохновению в храм. И, когда родители принесли Младенца Иисуса, чтобы совершить над Ним законный обряд,	فأتى بالروح الى الهيكل. وعندما دخل بالصبي يسوع ابواه ليصنعا له حسب عادة الناموس	родители
407	Возлюбленные! будем любить друг друга, потому что любовь от Бога, и всякий любящий рожден от Бога и знает Бога.	ايها الاحباء لنحب بعضنا بعضا لان المحبة هي من الله وكل من يحب فقد ولد من الله ويعرف الله.	любовь
408	И подошла женщина та к Саулу, и увидела, что он очень испугался, и сказала: вот, раба твоя послушалась голоса твоего и подвергала жизнь свою опасности и исполнила приказание, которое ты дал мне;	ثم جاءت المرأة الى شاول ورأت انه مرتاع جدا فقالت له هوذا قد سمعت جاريتك لصوتك فوضعت نفسي في كفّي وسمعت لكلامك الذي كلمتني به.	женщина
409	(40:16) он ложится под тенистыми деревьями, под кровом тростника и в болотах;	تحت السدرات يضطجع في ستر القصب والغمقة.	болотах
410	Когда же сидел Он на горе Елеонской, то приступили к Нему ученики наедине и спросили: скажи нам, когда это будет? и какой признак Твоего пришествия и кончины века?	وفيما هو جالس على جبل الزيتون تقدم اليه التلاميذ على انفراد قائلين قل لنا متى يكون هذا وما هي علامة مجيئك وانقضاء الدهر.	признак
411	то дополните мою радость: имейте одни мысли, имейте ту же любовь, будьте единодушны и единомысленны;	فتمموا فرحي حتى تفتكروا فكرا واحدا ولكم محبة واحدة بنفس واحدة مفتكرين شيئا واحدا	мысли
412	и две части из вас, из всех отходящих в субботу, будут содержать стражу при доме Господнем для царя;	والفرقتان منكم جميع الخارجين في السبت يحرسون حراسة بيت الرب حول الملك.	части
413	(7:2) О, как прекрасны ноги твои в сандалиях, дщерь именитая! Округление бедр твоих, как ожерелье, дело рук искусного художника;	ما اجمل رجليك بالنعلين يا بنت الكريم. دوائر فخذيك مثل الحلي صنعة يدي صناع.	сандалиях
414	Они сказали: не можем, пока не соберутся все стада, и не отвалят камня от устья колодезя; тогда будем мы поить овец.	فقالوا لا نقدر حتى تجتمع جميع القطعان ويدحرجوا الحجر عن فم البئر. ثم نسقي الغنم	устья
415	Отверстие от внутреннего венка до верха в один локоть; отверстие его круглое, подобно подножию столбов, в полтора локтя, и при отверстии его изваяния; но боковые стенки четырехугольные, не круглые.	وفمها داخل الاكليل ومن فوق ذراع. وفمها مدور كعمل قاعدة ذراع ونصف ذراع. وايضا على فمها نقش. واتراسها مربعة لا مدورة.	локтя
416	Вой голосом твоим, дочь Галима; пусть услышит тебя Лаис, бедный Анафоф!	اصهلي بصوتك يا بنت جلّيم. اسمعي يا ليشة. مسكينة هي عناثوث	дочь
417	объяви сынам Израилевым и скажи им: если мужчина или женщина решится дать обет назорейства, чтобы посвятить себя в назореи Господу,	كلم بني اسرائيل وقل لهم. اذا انفرز رجل او امرأة لينذر نذر النذير لينتذر للرب	мужчина
418	(13:18) И послал их Моисей высмотреть землю Ханаанскую и сказал им: пойдите в эту южную страну, и взойдите на гору,	فارسلهم موسى ليتجسّسوا ارض كنعان وقال لهم اصعدوا من هنا الى الجنوب واطلعوا الى الجبل	страну
419	У Меня отмщение и воздаяние, когда поколеблется нога их; ибо близок день погибели их, скоро наступит уготованное для них.	لي النقمة والجزاء. في وقت تزلّ اقدامهم. ان يوم هلاكهم قريب والمهيّآت لهم مسرعة.	нога
420	Так умер Саул за свое беззаконие, которое он сделал пред Господом, за то, что не соблюл слова Господня и обратился к волшебнице с вопросом,	فمات شاول بخيانته التي بها خان الرب من اجل كلام الرب الذي لم يحفظه. وايضا لاجل طلبه الى الجان للسؤال	вопросом
421	Вот, Я – против тебя, жительница долины, скала равнины, говорит Господь, – против вас, которые говорите: „кто выступит против нас и кто войдет в жилища наши?'	هانذا ضدك يا ساكنة العمق صخرة السهل يقول الرب. الذين يقولون من ينزل علينا ومن يدخل الى منازلنا.	жительница
422	После сего войдут левиты служить скинии собрания, когда ты очистишь их и совершишь над ними посвящение их; ибо они отданы Мне из сынов Израилевых:	وبعد ذلك ياتي اللاويون ليخدموا خيمة الاجتماع فتطهّرهم وترددهم ترديدا.	посвящение
423	В первый же день недели, когда ученики собрались для преломления хлеба, Павел, намереваясь отправиться в следующий день, беседовал с ними и продолжил слово до полуночи.	وفي اول الاسبوع اذ كان التلاميذ مجتمعين ليكسروا خبزا خاطبهم بولس وهو مزمع ان يمضي في الغد واطال الكلام الى نصف الليل‎.	полуночи
424	который отвечал и сказал стоявшим перед ним так: снимите с него запятнанные одежды. А ему самому сказал: смотри, Я снял с тебя вину твою и облекаю тебя в одежды торжественные.	فاجاب وكلم الواقفين قدامه قائلا انزعوا عنه الثياب القذرة. وقال له انظر. قد اذهبت عنك اثمك والبسك ثيابا مزخرفة.	вину
425	и к стенам твоим придвинет стенобитные машины и башни твои разрушит секирами своими.	ويجعل مجانق على اسوارك ويهدم ابراجك بأدوات حربه.	машины
426	И вышел другой конь, рыжий; и сидящему на нем дано взять мир с земли, и чтобы убивали друг друга; и дан ему большой меч.	فخرج فرس آخر احمر وللجالس عليه أعطي ان ينزع السلام من الارض وان يقتل بعضهم بعضا وأعطي سيفا عظيما	друг
427	Так положил Иисус начало чудесам в Кане Галилейской и явил славу Свою; и уверовали в Него ученики Его.	هذه بداية الآيات فعلها يسوع في قانا الجليل واظهر مجده فآمن به تلاميذه	Кане
428	Семь дней не отходите от дверей скинии собрания, пока не исполнятся дни посвящения вашего, ибо семь дней должно совершаться посвящение ваше;	ومن لدن باب خيمة الاجتماع لا تخرجون سبعة ايام الى يوم كمال ايام ملئكم لانه سبعة ايام يملأ ايديكم.	посвящения
429	Они же, выслушав, прославили Бога и сказали ему: видишь, брат, сколько тысяч уверовавших Иудеев, и все они ревнители закона.	‎فلما سمعوا كانوا يمجدون الرب. وقالوا له انت ترى ايها الاخ كم يوجد ربوة من اليهود الذين آمنوا وهم جميعا غيورون للناموس‎.	закона
430	Тогда Он сказал им: где вера ваша? Они же в страхе и удивлении говорили друг другу: кто же это, что и ветрам повелевает и воде, и повинуются Ему?	ثم قال لهم اين ايمانكم. فخافوا وتعجبوا قائلين فيما بينهم من هو هذا. فانه يأمر الرياح ايضا والماء فتطيعه	друг
431	И поднял милоть Илии, упавшую с него, и пошел назад, и стал на берегу Иордана;	ورفع رداء ايليا الذي سقط عنه ورجع ووقف على شاطئ الاردن.	Иордана
432	Весь город пришел в движение, и сделалось стечение народа; и, схватив Павла, повлекли его вон из храма, и тотчас заперты были двери.	‎فهاجت المدينة كلها وتراكض الشعب وامسكوا بولس وجروه خارج الهيكل وللوقت اغلقت الابواب‎.	стечение
433	Тогда ухватится человек за брата своего, в семействе отца своего, и скажет : у тебя есть одежда, будь нашим вождем, и да будут эти развалины под рукою твоею.	اذا امسك انسان باخيه في بيت ابيه قائلا لك ثوب فتكون لنا رئيسا وهذا الخراب تحت يدك	семействе
434	И когда они смотрели на небо, во время восхождения Его, вдруг предстали им два мужа в белой одежде	‎وفيما كانوا يشخصون الى السماء وهو منطلق اذا رجلان قد وقفا بهم بلباس ابيض	небо
435	за то, что они делали неугодное в очах Моих и прогневляли Меня с того дня, как вышли отцы их из Египта, и до сего дня.	لانهم عملوا الشر في عينيّ وصارا يغيظونني من اليوم الذي فيه خرج آباؤهم من مصر الى هذا اليوم.	отцы
436	(22:6) Так, благость и милость да сопровождают меня во все дни жизни моей, и я пребуду в доме Господнем многие дни.	‎انما خير ورحمة يتبعانني كل ايام حياتي واسكن في بيت الرب الى مدى الايام	жизни
437	Также и все капища высот в городах Самарийских, которые построили цари Израильские, прогневляя Господа , разрушил Иосия, и сделал с ними то же, что сделал в Вефиле;	وكذا جميع بيوت المرتفعات التي في مدن السامرة التي عملها ملوك اسرائيل للاغاظة ازالها يوشيا وعمل بها حسب جميع الاعمال التي عملها في بيت ايل.	капища
438	Рука прилежных будет господствовать, а ленивая будет под данью.	يد المجتهدين تسود. اما الرخوة فتكون تحت الجزية.	данью
439	только будь тверд и очень мужествен, и тщательно храни и исполняй весь закон, который завещал тебе Моисей, раб Мой; не уклоняйся от него ни направо ни налево, дабы поступать благоразумно во всех предприятиях твоих.	انما كن متشددا وتشجع جدا لكي تتحفظ للعمل حسب كل الشريعة التي امرك بها موسى عبدي. لا تمل عنها يمينا ولا شمالا لكي تفلح حيثما تذهب.	предприятиях
440	Но через несколько лет они сблизятся, и дочь южного царя придет к царю северному, чтобы установить правильные отношения между ними; но она не удержит силы в руках своих, не устоит и род ее, но преданы будут как она, так и сопровождавшие ее, и рожденный ею, и помогавшие ей в те времена.	وبعد سنين يتعاهدان وبنت ملك الجنوب تأتي الى ملك الشمال لاجراء الاتفاق ولكن لا تضبط الذراع قوة ولا يقوم هو ولا ذراعه. وتسلّم هي والذين اتوا بها والذي ولدها ومن قوّاها في تلك الاوقات.	отношения
441	Когда дошли до гумна Хидона, Оза простер руку свою, чтобы придержать ковчег, ибо волы наклонили его.	ولما انتهوا الى بيدر كيدون مدّ عزّا يده ليمسك التابوت لان الثيران انشمصت.	ковчег
442	Препояшьтесь вретищем и плачьте, священники! рыдайте, служители алтаря! войдите, ночуйте во вретищах, служители Бога моего! ибо не стало в доме Бога вашего хлебного приношения и возлияния.	تنطّقوا ونوحوا ايها الكهنة. ولولوا يا خدام المذبح. ادخلوا بيتوا بالمسوح يا خدام الهي لانه قد امتنع عن بيت الهكم التقدمة والسكيب.	алтаря
443	С одной стороны к пальме обращено лицо человеческое, а с другой стороны к пальме – лице львиное; так сделано во всем храме кругом.	فوجه الانسان نحو نخلة من هنا ووجه الشبل نحو نخلة من هنالك. عمل في كل البيت حواليه.	пальме
444	Впрочем жрецы высот не приносили жертв на жертвеннике Господнем в Иерусалиме, опресноки же ели вместе с братьями своими.	الا ان كهنة المرتفعات لم يصعدوا الى مذبح الرب في اورشليم بل اكلوا فطيرا بين اخوتهم.	высот
445	и вот, ты будешь молчать и не будешь иметь возможности говорить до того дня, как это сбудется, за то, что ты не поверил словам моим, которые сбудутся в свое время.	وها انت تكون صامتا ولا تقدر ان تتكلم الى اليوم الذي يكون فيه هذا لانك لم تصدق كلامي الذي سيتم في وقته.	возможности
446	Они же, проходя от Пергии, прибыли в Антиохию Писидийскую и, войдя в синагогу в день субботний, сели.	‎واما هم فجازوا من برجة وأتوا الى انطاكية بيسيدية ودخلوا المجمع يوم السبت وجلسوا‎.	день
447	А что до тебя, сын человеческий, то в тот день, когда Я возьму у них украшение славы их, утеху очей их и отраду души их, сыновей их и дочерей их, –	وانت يا ابن آدم أفلا يكون في يوم آخذ عنهم عزّهم سرور فخرهم شهوة عيونهم ورفعة نفسهم ابناءهم وبناتهم	утеху
448	И говорили ему молодые люди, которые выросли вместе с ним, и сказали: так скажи народу сему, который говорил тебе и сказал: „отец твой наложил на нас тяжкое иго, ты же облегчи нас'; так скажи им: „мой мизинец толще чресл отца моего;	فكلمه الاحداث الذين نشأوا معه قائلين هكذا تقول لهذا الشعب الذين كلموك قائلين ان اباك ثقل نيرنا واما انت فخفف من نيرنا هكذا تقول لهم ان خنصري اغلظ من متني ابي.	мизинец
449	Ибо епископ должен быть непорочен, как Божий домостроитель, не дерзок, не гневлив, не пьяница, не бийца, не корыстолюбец,	لانه يجب ان يكون الاسقف بلا لوم كوكيل الله غير معجب بنفسه ولا غضوب ولا مدمن الخمر ولا ضرّاب ولا طامع في الربح القبيح	епископ
450	Ибо так говорит Господь Бог: Я поступлю с тобою, как поступила ты,презрев клятву нарушением союза.	لانه هكذا قال السيد الرب اني افعل بك كما فعلت اذ ازدريت بالقسم لنكث العهد.	нарушением
451	Поникнут гордые взгляды человека, и высокое людское унизится; и один Господь будет высок в тот день.	توضع عينا تشامخ الانسان وتخفض رفعة الناس ويسمو الرب وحده في ذلك اليوم	взгляды
452	И выходил Давид с людьми своими и нападал на Гессурян и Гирзеян и Амаликитян, которые издавна населяли эту страну до Сура и даже до земли Египетской.	وصعد داود ورجاله وغزوا الجشوريين والجرزيين والعمالقة لان هؤلاء من قديم سكان الارض من عند شور الى ارض مصر.	страну
453	дабы вы не развратились и не сделали себе изваяний, изображений какого-либо кумира,представляющих мужчину или женщину,	لئلا تفسدوا وتعملوا لانفسكم تمثالا منحوتا صورة مثال ما شبه ذكر او انثى	изваяний
454	и давали Аммонитяне дань Озии, и дошло имя его до пределов Египта, потому что он был весьма силен.	واعطى العمونيون عزّيا هدايا وامتد اسمه الى مدخل مصر لانه تشدد جدا.	дань
455	Подрезывает себе ноги, терпит неприятность тот, кто дает словесное поручение глупцу.	يقطع الرجلين يشرب ظلما من يرسل كلاما عن يد جاهل.	поручение
456	Петр, встав, пошел с ними; и когда он прибыл, ввели его в горницу, и все вдовицы со слезами предстали перед ним, показывая рубашки и платья, какие делала Серна, живя с ними.	‎فقام بطرس وجاء معهما. فلما وصل صعدوا به الى العليّة فوقفت لديه جميع الارامل يبكين ويرين اقمصة وثيابا مما كانت تعمل غزالة وهي معهنّ.	платья
457	Отец его и мать его не знали, что это от Господа, и что он ищет случая отмстить Филистимлянам. А в то время Филистимляне господствовали над Израилем.	ولم يعلم ابوه وامه ان ذلك من الرب لانه كان يطلب علّة على الفلسطينيين. وفي ذلك الوقت كان الفلسطينيون متسلطين على اسرائيل	мать
458	В отношении к благовестию, они враги ради вас; а в отношении к избранию, возлюбленные Божии ради отцов.	من جهة الانجيل هم اعداء من اجلكم. واما من جهة الاختيار فهم احباء من اجل الآباء.	отношении
459	Иисус тотчас позволил им. И нечистые духи, выйдя, вошли в свиней; и устремилось стадо с крутизны в море, а их было около двух тысяч; и потонули в море.	فأذن لهم يسوع للوقت. فخرجت الارواح النجسة ودخلت في الخنازير. فاندفع القطيع من على الجرف الى البحر. وكان نحو الفين. فاختنق في البحر.	крутизны
460	Прочее о Ровоаме и обо всем, что он делал, описано в летописи царей Иудейских.	وبقية امور رحبعام وكل ما فعل اما هي مكتوبة في سفر اخبار الايام لملوك يهوذا.	летописи
461	И сказала Далида Самсону: все ты обманываешь меня и говоришь мне ложь; скажи мне, чем бы связать тебя? Он сказал ей: если ты воткешь семь кос головы моей в ткань и прибьешь ее гвоздем к ткальной колоде .	فقالت دليلة لشمشون حتى الآن ختلتني وكلمتني بالكذب. فاخبرني بماذا توثق. فقال لها اذا ضفرت سبع خصل راسي مع السدى.	кос
462	И взяли они скот свой и имущество свое, которое приобрели в земле Ханаанской, и пришли в Египет, – Иаков и весь род его с ним.	واخذوا مواشيهم ومقتناهم الذي اقتنوا في ارض كنعان وجاءوا الى مصر. يعقوب وكل نسله معه.	имущество
463	Во всех путях твоих познавай Его, и Он направит стези твои.	في كل طرقك اعرفه وهو يقوم سبلك	путях
464	(5:13) И гибнет богатство это от несчастных случаев: родил он сына, и ничего нет в руках у него.	فهلكت تلك الثروة بامر سيء ثم ولد ابنا وما بيده شيء.	случаев
465	сына одной женщины из дочерей Дановых, – а отец его Тирянин, – умеющего делать изделия из золота и из серебра, из меди, из железа, из камней и из дерев, из пряжи пурпурового, яхонтового цвета, и из виссона, и из багряницы, и вырезывать всякую резьбу, и исполнять все, что будет поручено ему вместе с художниками твоими и с художниками господина моего Давида, отца твоего.	ابن امرأة من بنات دان وابوه رجل صوري ماهر في صناعة الذهب والفضة والنحاس والحديد والحجارة والخشب والارجوان والاسمانجوني والكتان والقرمز ونقش كل نوع من النقش واختراع كل اختراع يلقى عليه مع حكمائك وحكماء سيدي داود ابيك.	пряжи
466	сын человеческий! что за поговорка у вас, в земле Израилевой: „много дней пройдет, и всякое пророческое видение исчезнет'?	يا ابن آدم ما هذا المثل الذي لكم على ارض اسرائيل القائل قد طالت الايام وخابت كل رؤيا.	поговорка
467	Уголь – для жара и дрова – для огня, а человек сварливый – для разжжения ссоры.	فحم للجمر وحطب للنار هكذا الرجل المخاصم لتهييج النزاع.	жара
468	То прославленное даже не оказывается славным с сей стороны, по причине преимущественной славы последующего .	فان الممجد ايضا لم يمجد من هذا القبيل لسبب المجد الفائق.	причине
469	жертвенник всесожжения и решетку медную для него, и шесты его и все принадлежности его, умывальник и подножие его,	ومذبح المحرقة وشبّاكة النحاس التي له وعصويه وكل آنيته والمرحضة وقاعدتها	принадлежности
470	и положил он их на нарамники ефода, в память сынов Израилевых, как повелел Господь Моисею.	ووضعهما على كتفي الرداء حجري تذكار لبني اسرائيل. كما امر الرب موسى.	память
471	Когда пришел Иаков в Египет, и отцы ваши возопили к Господу, то Господь послал Моисея и Аарона, и они вывели отцов ваших из Египта и поселили их на месте сем.	لما جاء يعقوب الى مصر وصرخ آباؤكم الى الرب ارسل الرب موسى وهرون فاخرجا آباءكم من مصر واسكناهم في هذا المكان.	отцы
472	Сказав сие, Он поднялся в глазах их, и облако взяло Его из вида их.	ولما قال هذا ارتفع وهم ينظرون. واخذته سحابة عن اعينهم‎.	вида
473	Народ Мой вопрошает свое дерево и жезл его дает ему ответ; ибо дух блуда ввел их в заблуждение, и, блудодействуя, они отступили от Бога своего.	شعبي يسأل خشبه وعصاه تخبره لان روح الزنى قد اضلّهم فزنوا من تحت الههم.	жезл
474	Городские служители пересказали эти слова воеводам, и те испугались, услышав, что это Римские граждане.	‎فاخبر الجلادون الولاة بهذا الكلام فاختشوا لما سمعوا انهما رومانيان‎.	воеводам
475	то сами среди поношений и скорбей служа зрелищем для других , то принимая участие в других, находившихся в таком же состоянии ;	من جهة مشهورين بتعييرات وضيقات ومن جهة صائرين شركاء الذين تصرّف فيهم هكذا.	зрелищем
476	(5:19) Недолго будут у него в памяти дни жизни его; потому Бог и вознаграждает его радостью сердца его.	لانه لا يذكر ايام حياته كثيرا لان الله ملهيه بفرح قلبه	памяти
477	И еще сказал Хирам: благословен Господь Бог Израилев,создавший небо и землю, давший царю Давиду сына мудрого, имеющего смысл и разум, который намерен строить дом Господу и дом царский для себя.	وقال حورام مبارك الرب اله اسرائيل الذي صنع السماء والارض الذي اعطى داود الملك ابنا حكيما صاحب معرفة وفهم الذي يبني بيتا للرب وبيتا لملكه.	смысл
478	И не будет в Египте такого дела, которое совершить умели бы голова и хвост, пальма и трость.	فلا يكون لمصر عمل يعمله راس او ذنب نخلة او اسلة.	голова
479	у нас есть и солома и корм для ослов наших; также хлеб и вино для меня и для рабы твоей и для сего слуги есть у рабов твоих; ни в чем нет недостатка.	وايضا عندنا تبن وعلف لحميرنا وايضا خبز وخمر لي ولامتك وللغلام الذي مع عبيدك. ليس احتياج الى شيء.	корм
480	Вооз отвечал и сказал ей: мне сказано все, что сделала ты для свекрови своей по смерти мужа твоего, что ты оставила твоего отца и твою мать и твою родину и пришла к народу, которого ты не знала вчера и третьего дня;	فاجاب بوعز وقال لها انني قد اخبرت بكل ما فعلت بحماتك بعد موت رجلك حتى تركت اباك وامك وارض مولدك وسرت الى شعب لم تعرفيه من قبل.	родину
481	А ты кто, человек, что споришь с Богом? Изделие скажет ли сделавшему его: „зачем ты меня так сделал?'	بل من انت ايها الانسان الذي تجاوب الله. ألعل الجبلة تقول لجابلها لماذا صنعتني هكذا.	Богом
482	И посылал царь Израильский на то место, о котором говорил ему человек Божий и предостерегал его; и сберег себя там не раз и не два.	فارسل ملك اسرائيل الى الموضع الذي قال له عنه رجل الله وحذره منه وتحفظ هناك لا مرّة ولا مرتين.	раз
